name,rating,review,duration
Dave Skorupski, 5 stars ,"A nice church and venue providing good, quality, community outreach.",4 years ago
Deb Eadie, 5 stars ,"Wonderful, friendly and very active for every one.
Great biblical teaching, non judgemental, and giving. Love this fellowship and recommend to anyone who wants to get involved.",a year ago
Deborah Eadie, 5 stars ,Really enjoy the music and the message and the great people..,5 years ago
Dennis 78599, 5 stars ,Great place to worship and learn to love god,a year ago
Steve Johnson, 4 stars ,I vote here.,3 years ago
Dorothy Willson, 5 stars ,Special event,a year ago
