name,rating,review,duration
Victor Bonssrah, 5 stars ,The word is being preached day in and day out.The word of God is not watered down.Ww preach the Bible.,a month ago
Asenath Asuta, 5 stars ,I love my church. Everyone in the church are very loving. The church elders very welcoming. The pastor preaches very good and he is very nice with a happy face all the time. Once you enter the building you feel the love.,4 years ago
Elaine Thurmond, 5 stars ,Ouch Church always glad and happy spiritually to go,3 years ago
dian kelly, 5 stars ,Awesomely nice people. If lived closer would attend.,3 years ago
Laura Prescod, 4 stars ,Very nice church,a year ago
