name,rating,review,duration
Kerri, 5 stars ,"Love this church! We've been attending since 2013. The preaching is solidly biblical and profound, while still understandable to those of us without theological degrees. The people are incredibly warm and welcoming.",5 years ago
Daniel S, 5 stars ,"I love these people! Everyone was very welcoming, and the fellowship meal was good. The preaching by pastor Proctor was very Spirit-filled and moving.",2 years ago
John Paul Holloway, 5 stars ,Excited to have been called as a pastor here for a church plant!,a year ago
Chris Lambert, 5 stars ,Excellent!,3 years ago
