name,rating,review,duration
Dana A, 5 stars ,This is a solid church full of reformed believers. Scripture is preached boldly and the body of the church is full of people dedicated to God's glory.,3 years ago
Lee Hunt, 5 stars ,What a wonderful church...and the daycare is just awesome👣 highly recommended Mrs. Claus,3 years ago
Mikell Admire, 5 stars ,Great congregation with strong Christ centered reformed preaching.,5 years ago
DEH Gmail, 5 stars ,Very welcoming. Great inspirational website.,2 years ago
