name,rating,review,duration
Forest & Jamie Braden, 5 stars ,Our family of young children was welcomed by many in the congregation when we attended an evening worship this month. We will be back!,a year ago
sgtred111, 5 stars ,"Very good biblical teaching! Sunday: 9:30am Morning worship service
Sunday: 11:15am Sunday school all ages
Sunday: 1:30pm Afternoon worship service (2nd and 4th Sundays) OR 6pm Evening worship service (1st and 3rd Sundays)
Wednesday: 7pm Prayer meeting",3 years ago
Jay Miller, 5 stars ,"Thank you, Sgtred :-}!",a year ago
Puzzle, 5 stars ,"Thank you, Jay!",2 years ago
