name,rating,review,duration
Robin Laber, 5 stars ,"A place where the word of God is preached and taught, where the faith is lived out, where the lowly are welcomed, where the sinner can find salvation and fellowship with the faithful who are no better nor worse than themselves. A spiritual resting place for the weary and hungry.",a year ago
Jason Taylor, 5 stars ,Amazing church very friendly people.  They have a amazing pastor.  Very recommend if you are looking for a good down to earth church.,2 years ago
Skeeter Brewer, 5 stars ,Pastor Larson is a very good pastor who cares much for his people,4 years ago
julie tate, 5 stars ,Very nice congregation!,a year ago
