name,rating,review,duration
David “Davinci” Gundt One, 5 stars ,Very nice church and very welcoming.,5 months ago
John Miller, 5 stars ,Sincerely loving group of believers who stand for the trues of Scripture and strive to love and serve people.,3 years ago
Heidi Lueck, 5 stars ,"Friendly, sincere lay people and staff with a heart for the Lord and for living in relationship with other people, both Christians and non-Christians.",5 years ago
Dan Reising, 5 stars ,Excellence in music and sermons.  Top notch teaching.,a year ago
Nathan Agen, 5 stars ,Excellent preaching and teaching,3 years ago
C S, 1 star ,Blah,6 years ago
