name,rating,review,duration
Providence Admin, 5 stars ,"Providence OPC of Scottsdale began meeting for worship services in May, 2022.  Sunday Morning Worship is at 11am and Sunday Evening Prayer and Fellowship is at 5 pm.  It is wonderful to see God growing His church in Scottsdale.  Interested in knowing more please check out the website.",3 months ago
Dawn H, 5 stars ,"So happy that the Orthodox Presbyterian Church now has a church in Scottsdale, AZ.  The Minister, David Schexnayder, is gospel centered in his preaching.  It’s a new church.  I am looking forward to making this my church home.",3 months ago
